"corpus","user/Poehler/about_the_gnu_operating_system_informationen_zum_gnu_tmx__de_de"
"subcorpus","-"
"Source","Target","Score","Co-hits","Source hits","Target hits"
"Ziel","goal",14.000,4,4,4
"Freiheit","freedom",14.000,3,3,3
"rekursives Akronym","recursive acronym",14.000,2,2,2
"Rechnernutzer","computer",14.000,2,2,2
"Not","recursive acronym",14.000,2,2,2
"Linux","kernel",14.000,2,2,2
"Freie-software-gemeinschaft","software community",14.000,2,2,2
"Betriebssystemkern","kernel",14.000,2,2,2
"Betriebssystem","operating system",14.000,2,2,2
"Akronym","recursive acronym",14.000,2,2,2
"verschiedene Weise","organization",14.000,1,1,1
"unixoides System","unix-compatible system",14.000,1,1,1
"technische Idee","way of paying tribute",14.000,1,1,1
"proprietäre Software","ultimate goal",14.000,1,1,1
"größtmögliche Freiheit","work",14.000,1,1,1
"große Freie-software-gemeinschaft","software community libreplanet",14.000,1,1,1
"gemeinsamer Upstream","whole",14.000,1,1,1
"gemeinnützige Organisation","organization",14.000,1,1,1
"gegründete gemeinnützige Organisation","organization",14.000,1,1,1
"freie Distribution","relationship",14.000,1,1,1
"engagierter Mensch","computing",14.000,1,1,1
"endgültiges Ziel","ultimate goal",14.000,1,1,1
"anhaltendes Ziel","unix-compatible system",14.000,1,1,1
"andere Stelle","relationship",14.000,1,1,1
"Weise","organization",14.000,1,1,1
"Verzichtserklärung","transferring copyright",14.000,1,1,1
"Vergangenheit","ultimate goal",14.000,1,1,1
"Verfügung","relationship",14.000,1,1,1
"Upstream","whole",14.000,1,1,1
"Tribut","way of paying tribute",14.000,1,1,1
"Teil der Größeren Freie-software-gemeinschaft","software community libreplanet",14.000,1,1,1
"Teil","software community libreplanet",14.000,1,1,1
"Tausend","success",14.000,1,1,1
"Stelle","relationship",14.000,1,1,1
"Stallman","computing",14.000,1,1,1
"Softwarenutzer","computing",14.000,1,1,1
"Sache der Vergangenheit","ultimate goal",14.000,1,1,1
"Sache","ultimate goal",14.000,1,1,1
"Richard","computing",14.000,1,1,1
"Organisation","organization",14.000,1,1,1
"Name des Systems","way of paying tribute",14.000,1,1,1
"Name der Gnu-programme","transferring copyright",14.000,1,1,1
"Name Gnu","syllable",14.000,1,1,1
"Möglichkeit","success",14.000,1,1,1
"Meeting","software community libreplanet",14.000,1,1,1
"Konferenz","software community libreplanet",14.000,1,1,1
"Klarstellung","transferring copyright",14.000,1,1,1
"Jahr","computing",14.000,1,1,1
"Idee","way of paying tribute",14.000,1,1,1
"Hacker","software community libreplanet",14.000,1,1,1
"Gpl","someone",14.000,1,1,1
"Gnu-programm","transferring copyright",14.000,1,1,1
"Gnu-paket der Freie-software-gemeinschaft","whole",14.000,1,1,1
"Gnu-entwickler","software community libreplanet",14.000,1,1,1
"Gnu Hacker","software community libreplanet",14.000,1,1,1
"Gnu Gpl","someone",14.000,1,1,1
"Gericht","transferring copyright",14.000,1,1,1
"Ganze","whole",14.000,1,1,1
"Freie-software-ideale","organization",14.000,1,1,1
"Free","organization",14.000,1,1,1
"Foundation","organization",14.000,1,1,1
"Durchsetzung","someone",14.000,1,1,1
"Datenverarbeitung","computing",14.000,1,1,1
"Copyright-übertragung","transferring copyright",14.000,1,1,1
"Beziehung","relationship",14.000,1,1,1
"Beitrag","whole",14.000,1,1,1
"Aufgabe","ultimate goal",14.000,1,1,1
"Art","way of paying tribute",14.000,1,1,1
"Arbeit","work",14.000,1,1,1
"Copyright","copyright",13.778,3,3,4
"Rms","rms",13.679,2,3,2
"Programm","program",13.679,2,3,2
"Name","recursive acronym",13.679,2,3,2
"Zeit","time",13.679,2,2,3
"Fsf","copyright",13.585,3,4,4
"Software","software",13.541,4,4,7
"freie Software","goal",13.416,2,2,4
"Mensch","success",13.416,1,2,1
"Distribution","whole",13.416,1,2,1
"benutzerorientierte Anwendung","operating system",13.416,1,1,2
"Nutzer","operating system",13.416,1,1,2
"Hilfsprogramm","operating system",13.416,1,1,2
"Dienstprogramm","operating system",13.416,1,1,2
"Bibliothek","operating system",13.416,1,1,2
"Anwendung","operating system",13.416,1,1,2
"System","system",13.264,3,3,7
"Unix","way of paying tribute",13.000,1,3,1
"Gnu-paket","whole",13.000,1,3,1
"Gegensatz","freedom",13.000,1,1,3
"Benutzer","freedom",13.000,1,1,3
"%","unix-compatible system",12.679,1,4,1
"Gnu","system",12.622,5,19,7
"funktionierendes Gnu-system","system",12.000,1,1,7
"Gnu-system","system",12.000,1,1,7
